,repository_name,language
0,apple-llvm-infrastructure-tools,C++
1,apple_rules_lint,Starlark
2,ARKitScenes,Python
3,AudioUnit-Examples,Swift
4,AudioUnitSDK,C++
5,batch-processing-gateway,Java
6,ccs-caldavclientlibrary,HTML
7,ccs-caldavtester,Python
8,ccs-calendarserver,Python
9,ccs-pycalendar,Python
10,ccs-pykerberos,C
11,ccs-pyopendirectory,C++
12,ccs-pyosxframeworks,Python
13,ccs-pysecuretransport,Python
14,ccs-twistedextensions,Python
15,coremltools,Python
16,cups,C
17,darwin-libplatform,C
18,darwin-libpthread,C
19,darwin-xnu,C
20,device-management,
21,example-package-dealer,Swift
22,example-package-deckofplayingcards,Swift
23,example-package-fisheryates,Swift
24,example-package-playingcard,Swift
25,FHIRModels,Swift
26,foundationdb,C++
27,fstools,C
28,GCGC,Jupyter Notebook
29,HomeKitADK,C
30,indexstore-db,C++
31,learning-compressible-subspaces,Python
32,learning-subspaces,Python
33,llvm-monorepo-root,
34,llvm-project,
35,llvm-project-v5,C++
36,llvm-project-v5-split,C++
37,MaterialX,
38,ml-afv,Python
39,ml-all-pairs,Python
40,ml-ane-transformers,Python
41,ml-aspanformer,Python
42,ml-batchquant,Python
43,ml-capsules-inverted-attention-routing,Python
44,ml-cifar-10-faster,Python
45,ml-code-switched-speech-translation,Python
46,ml-collegial-ensembles,Python
47,ml-core,Python
48,ml-covid-mobility,R
49,ml-cread,Python
50,ml-cvnets,Python
51,ml-cvpr2019-swd,Python
52,ml-dab,Python
53,ml-data-parameters,Python
54,ml-dms-dataset,Python
55,ml-envmapnet,Python
56,ml-equivariant-neural-rendering,Jupyter Notebook
57,ml-facelit,Python
58,ml-fct,Python
59,ml-flair,Jupyter Notebook
60,ml-gaudi,
61,ml-gmpi,Python
62,ml-gsn,Python
63,ml-hierarchical-confusion-matrix,TypeScript
64,ml-hypersim,Python
65,ml-interspeech2022-phi_rtn,
66,ml-knowledge-conflicts,Python
67,ml-mkqa,Python
68,ml-mobileone,Swift
69,ml-multiple-futures-prediction,Python
70,ml-ncg,Python
71,ml-neilf,Python
72,ml-neuman,Python
73,ml-no-token-left-behind,Jupyter Notebook
74,ml-probabilistic-attention,Python
75,ml-qrecc,Python
76,ml-quant,Python
77,ml-robust-expert-augmentations,Python
78,ml-sad,Python
79,ml-selfcond,Python
80,ml-shuffling-amplification,Python
81,ml-spin,Python
82,ml-stable-diffusion,Python
83,ml-stuttering-events-dataset,Python
84,ml-tract,Python
85,ml-transcript-translation-consistency-ratings,
86,ml-translate-vis,TypeScript
87,ml-tree-dst,Python
88,ml-uwac,Python
89,ml-vfi-smiff,Python
90,openjdk,Java
91,password-manager-resources,JavaScript
92,sample-cloudkit-coredatasync,Swift
93,sample-cloudkit-encryption,Swift
94,sample-cloudkit-privatedb,Swift
95,sample-cloudkit-privatedb-sync,Swift
96,sample-cloudkit-queries,Swift
97,sample-cloudkit-sharing,Swift
98,sample-cloudkit-tooling,JavaScript
99,sample-cloudkit-zonesharing,Swift
100,sample-food-truck,Swift
101,servicetalk,Java
102,sourcekit-lsp,Swift
103,swift,C++
104,swift-3-api-guidelines-review,Swift
105,swift-algorithms,Swift
106,swift-argument-parser,Swift
107,swift-asn1,Swift
108,swift-async-algorithms,Swift
109,swift-atomics,Swift
110,swift-book,Markdown
111,swift-cassandra-client,Swift
112,swift-certificates,Swift
113,swift-clang,C++
114,swift-clang-tools-extra,C++
115,swift-cluster-membership,Swift
116,swift-cmark,C
117,swift-collections,Swift
118,swift-collections-benchmark,Swift
119,swift-community-hosted-continuous-integration,
120,swift-compiler-rt,C
121,swift-corelibs-foundation,Swift
122,swift-corelibs-libdispatch,C
123,swift-corelibs-xctest,Swift
124,swift-crypto,C
125,swift-distributed-actors,Swift
126,swift-distributed-tracing,Swift
127,swift-distributed-tracing-baggage,Swift
128,swift-distributed-tracing-baggage-core,Swift
129,swift-distributed-tracing-extras,Swift
130,swift-docc,Swift
131,swift-docc-plugin,Swift
132,swift-docc-render,JavaScript
133,swift-docc-render-artifact,
134,swift-docc-symbolkit,Swift
135,swift-docker,Dockerfile
136,swift-driver,Swift
137,swift-evolution,Markdown
138,swift-evolution-staging,Swift
139,swift-experimental-string-processing,Swift
140,swift-format,Swift
141,swift-http-structured-headers,Swift
142,swift-installer-scripts,CMake
143,swift-integration-tests,Python
144,swift-internals,HTML
145,swift-issues,
146,swift-libcxx,C++
147,swift-llbuild,C++
148,swift-llbuild2,Swift
149,swift-lldb,C++
150,swift-llvm,LLVM
151,swift-llvm-bindings,Swift
152,swift-lmdb,C
153,swift-log,Swift
154,swift-markdown,Swift
155,swift-metrics,Swift
156,swift-metrics-extras,Swift
157,swift-nio,Swift
158,swift-nio-examples,Swift
159,swift-nio-extras,Swift
160,swift-nio-http2,Swift
161,swift-nio-imap,Swift
162,swift-nio-nghttp2-support,Swift
163,swift-nio-ssh,Swift
164,swift-nio-ssl,C
165,swift-nio-ssl-support,Swift
166,swift-nio-transport-services,Swift
167,swift-nio-zlib-support,Swift
168,swift-numerics,Swift
169,swift-org-website,SCSS
170,swift-package-collection-generator,Swift
171,swift-package-manager,Swift
172,swift-package-registry-compatibility-test-suite,Swift
173,swift-protobuf,Swift
174,swift-protobuf-plugin,
175,swift-protobuf-test-conformance,
176,swift-sample-distributed-actors-transport,Swift
177,swift-se0270-range-set,Swift
178,swift-se0288-is-power,Swift
179,swift-service-discovery,Swift
180,swift-source-compat-suite,Python
181,swift-standard-library-preview,Swift
182,swift-statsd-client,Swift
183,swift-stress-tester,Swift
184,swift-syntax,Swift
185,swift-system,Swift
186,swift-tools-support-async,Swift
187,swift-tools-support-core,Swift
188,swift-xcode-playground-support,Swift
189,swiftpm-on-llbuild2,Swift
190,tensorflow_macos,Shell
191,turicreate,C++
192,unityplugins,C#
193,VideoFlashingReduction,Mathematica
194,vqg-multimodal-assistant,Python
